index,group,yes_side,phase,audio,visual_target,correct,type,match_sel,mismatch_sel,step,path
1,B_group,left,exposure,Ballerina,Ballerina,yes,crit_amb,Same,Different,15,ambiguous/Ballerina_Pallerina_1_15.mp3
2,B_group,left,exposure,Balloon,Balloon,yes,crit_amb,Same,Different,12,ambiguous/Balloon_Palloon_3_12.mp3
3,B_group,left,exposure,Baloney,Baloney,yes,crit_amb,Same,Different,10,ambiguous/Baloney_Paloney_1_10.mp3
4,B_group,left,exposure,Banana,Banana,yes,crit_amb,Same,Different,17,ambiguous/Banana_Panana_3_17.mp3
5,B_group,left,exposure,Barely,Barely,yes,crit_amb,Same,Different,15,ambiguous/Barely_Parely_1_15.mp3
6,B_group,left,exposure,Barn,Barn,yes,crit_amb,Same,Different,20,ambiguous/Barn_Parn_1_20.mp3
7,B_group,left,exposure,Barren,Barren,yes,crit_amb,Same,Different,20,ambiguous/Barren_Parren_3_20.mp3
8,B_group,left,exposure,Belly,Belly,yes,crit_amb,Same,Different,20,ambiguous/Belly_Pelly_3_20.mp3
9,B_group,left,exposure,Benign,Benign,yes,crit_amb,Same,Different,14,ambiguous/Benign_Penign_3_14.mp3
10,B_group,left,exposure,Biannual,Biannual,yes,crit_amb,Same,Different,7,ambiguous/Biannual_Piannual_3_7.mp3
11,B_group,left,exposure,Billion,Billion,yes,crit_amb,Same,Different,18,ambiguous/Billion_Pillion_3_18.mp3
12,B_group,left,exposure,Billionaire,Billionaire,yes,crit_amb,Same,Different,8,ambiguous/Billionaire_Pillionaire_3_8.mp3
13,B_group,left,exposure,Blue,Blue,yes,crit_amb,Same,Different,17,ambiguous/Blue_Plue_3_17.mp3
14,B_group,left,exposure,Boil,Boil,yes,crit_amb,Same,Different,15,ambiguous/Boil_Poil_1_15.mp3
15,B_group,left,exposure,Boom,Boom,yes,crit_amb,Same,Different,15,ambiguous/Boom_Poom_1_15.mp3
16,B_group,left,exposure,Brain,Brain,yes,crit_amb,Same,Different,19,ambiguous/Brain_Prain_3_19.mp3
17,B_group,left,exposure,Brewery,Brewery,yes,crit_amb,Same,Different,13,ambiguous/Brewery_Prewery_1_13.mp3
18,B_group,left,exposure,Brown,Brown,yes,crit_amb,Same,Different,11,ambiguous/Brown_Prown_3_11.mp3
19,B_group,left,exposure,Burial,Burial,yes,crit_amb,Same,Different,17,ambiguous/Burial_Purial_1_17.mp3
20,B_group,left,exposure,Burrow,Burrow,yes,crit_amb,Same,Different,9,ambiguous/Burrow_Purrow_3_9.mp3
21,B_group,left,exposure,Parallel,Enlarge,no,crit_unamb,Same,Different,NA,unambiguous/Barallel_Parallel_4.mp3
22,B_group,left,exposure,Parlor,Colleague,no,crit_unamb,Same,Different,NA,unambiguous/Barlor_Parlor_4.mp3
23,B_group,left,exposure,Pawn,Neutral,no,crit_unamb,Same,Different,NA,unambiguous/Bawn_Pawn_2.mp3
24,B_group,left,exposure,Peninsula,Temple,no,crit_unamb,Same,Different,NA,unambiguous/Beninsula_Peninsula_2.mp3
25,B_group,left,exposure,Perform,Outfit,no,crit_unamb,Same,Different,NA,unambiguous/Berform_Perform_2.mp3
26,B_group,left,exposure,Pioneer,Lonely,no,crit_unamb,Same,Different,NA,unambiguous/Bioneer_Pioneer_4.mp3
27,B_group,left,exposure,Planner,Verdict,no,crit_unamb,Same,Different,NA,unambiguous/Blanner_Planner_2.mp3
28,B_group,left,exposure,Plea,Loss,no,crit_unamb,Same,Different,NA,unambiguous/Blea_Plea_2.mp3
29,B_group,left,exposure,Plyer,Deny,no,crit_unamb,Same,Different,NA,unambiguous/Blyer_Plyer_2.mp3
30,B_group,left,exposure,Pollen,Tribute,no,crit_unamb,Same,Different,NA,unambiguous/Bollen_Pollen_2.mp3
31,B_group,left,exposure,Polymer,Polymer,yes,crit_unamb,Same,Different,NA,unambiguous/Bolymer_Polymer_2.mp3
32,B_group,left,exposure,Prayer,Prayer,yes,crit_unamb,Same,Different,NA,unambiguous/Brayer_Prayer_2.mp3
33,B_group,left,exposure,Preliminary,Preliminary,yes,crit_unamb,Same,Different,NA,unambiguous/Breliminary_Preliminary_2.mp3
34,B_group,left,exposure,Premier,Premier,yes,crit_unamb,Same,Different,NA,unambiguous/Bremier_Premier_2.mp3
35,B_group,left,exposure,Primal,Primal,yes,crit_unamb,Same,Different,NA,unambiguous/Brimal_Primal_2.mp3
36,B_group,left,exposure,Prime,Prime,yes,crit_unamb,Same,Different,NA,unambiguous/Brime_Prime_2.mp3
37,B_group,left,exposure,Prior,Prior,yes,crit_unamb,Same,Different,NA,unambiguous/Brior_Prior_2.mp3
38,B_group,left,exposure,Prowl,Prowl,yes,crit_unamb,Same,Different,NA,unambiguous/Browl_Prowl_2.mp3
39,B_group,left,exposure,Pry,Pry,yes,crit_unamb,Same,Different,NA,unambiguous/Bry_Pry_2.mp3
40,B_group,left,exposure,Pylon,Pylon,yes,crit_unamb,Same,Different,NA,unambiguous/Bylon_Pylon_2.mp3
41,B_group,left,exposure,Aisle,Advice,no,fill_word,Same,Different,NA,word/Aisle_1.mp3
42,B_group,left,exposure,Ally,Favour,no,fill_word,Same,Different,NA,word/Ally_1.mp3
43,B_group,left,exposure,Area,Area,yes,fill_word,Same,Different,NA,word/Area_1.mp3
44,B_group,left,exposure,Arena,Arena,yes,fill_word,Same,Different,NA,word/Arena_1.mp3
45,B_group,left,exposure,Arrow,Ankle,no,fill_word,Same,Different,NA,word/Arrow_1.mp3
46,B_group,left,exposure,Assume,Replace,no,fill_word,Same,Different,NA,word/Assume_1.mp3
47,B_group,left,exposure,Aware,Aware,yes,fill_word,Same,Different,NA,word/Aware_1.mp3
48,B_group,left,exposure,Enemy,Enemy,yes,fill_word,Same,Different,NA,word/Enemy_1.mp3
49,B_group,left,exposure,Ensure,Knowledge,no,fill_word,Same,Different,NA,word/Ensure_1.mp3
50,B_group,left,exposure,Error,Spirit,no,fill_word,Same,Different,NA,word/Error_1.mp3
51,B_group,left,exposure,Eye,Eye,yes,fill_word,Same,Different,NA,word/Eye_1.mp3
52,B_group,left,exposure,Failure,Failure,yes,fill_word,Same,Different,NA,word/Failure_1.mp3
53,B_group,left,exposure,Famous,Kettle,no,fill_word,Same,Different,NA,word/Famous_1.mp3
54,B_group,left,exposure,Flower,Retreat,no,fill_word,Same,Different,NA,word/Flower_1.mp3
55,B_group,left,exposure,Frame,Frame,yes,fill_word,Same,Different,NA,word/Frame_1.mp3
56,B_group,left,exposure,Funnel,Funnel,yes,fill_word,Same,Different,NA,word/Funnel_1.mp3
57,B_group,left,exposure,Hallway,Mine,no,fill_word,Same,Different,NA,word/Hallway_1.mp3
58,B_group,left,exposure,Hang,Chorus,no,fill_word,Same,Different,NA,word/Hang_1.mp3
59,B_group,left,exposure,Harmony,Harmony,yes,fill_word,Same,Different,NA,word/Harmony_1.mp3
60,B_group,left,exposure,Hill,Hill,yes,fill_word,Same,Different,NA,word/Hill_1.mp3
61,B_group,left,exposure,Hole,Major,no,fill_word,Same,Different,NA,word/Hole_1.mp3
62,B_group,left,exposure,Horn,Greeting,no,fill_word,Same,Different,NA,word/Horn_1.mp3
63,B_group,left,exposure,Jelly,Jelly,yes,fill_word,Same,Different,NA,word/Jelly_2.mp3
64,B_group,left,exposure,Jewel,Jewel,yes,fill_word,Same,Different,NA,word/Jewel_1.mp3
65,B_group,left,exposure,Lawyer,Physical,no,fill_word,Same,Different,NA,word/Lawyer_1.mp3
66,B_group,left,exposure,Layer,Layout,no,fill_word,Same,Different,NA,word/Layer_1.mp3
67,B_group,left,exposure,Learning,Learning,yes,fill_word,Same,Different,NA,word/Learning_1.mp3
68,B_group,left,exposure,Low,Low,yes,fill_word,Same,Different,NA,word/Low_1.mp3
69,B_group,left,exposure,Main,Heavy,no,fill_word,Same,Different,NA,word/Main_1.mp3
70,B_group,left,exposure,Marine,Remark,no,fill_word,Same,Different,NA,word/Marine_1.mp3
71,B_group,left,exposure,Memory,Memory,yes,fill_word,Same,Different,NA,word/Memory_1.mp3
72,B_group,left,exposure,Money,Money,yes,fill_word,Same,Different,NA,word/Money_1.mp3
73,B_group,left,exposure,Name,Flower,no,fill_word,Same,Different,NA,word/Name_1.mp3
74,B_group,left,exposure,Narrow,Decide,no,fill_word,Same,Different,NA,word/Narrow_1.mp3
75,B_group,left,exposure,Normal,Normal,yes,fill_word,Same,Different,NA,word/Normal_2.mp3
76,B_group,left,exposure,Nun,Nun,yes,fill_word,Same,Different,NA,word/Nun_1.mp3
77,B_group,left,exposure,Phenomenon,Export,no,fill_word,Same,Different,NA,word/Phenomenon_1.mp3
78,B_group,left,exposure,Rally,Short,no,fill_word,Same,Different,NA,word/Rally_1.mp3
79,B_group,left,exposure,Range,Route,no,fill_word,Same,Different,NA,word/Range_1.mp3
80,B_group,left,exposure,Real,Keep,no,fill_word,Same,Different,NA,word/Real_1.mp3
81,B_group,left,exposure,Reign,Throne,no,fill_word,Same,Different,NA,word/Reign_1.mp3
82,B_group,left,exposure,Ring,Jet,no,fill_word,Same,Different,NA,word/Ring_1.mp3
83,B_group,left,exposure,Roar,Black,no,fill_word,Same,Different,NA,word/Roar_1.mp3
84,B_group,left,exposure,Royal,Seed,no,fill_word,Same,Different,NA,word/Royal_1.mp3
85,B_group,left,exposure,Ruin,Stun,no,fill_word,Same,Different,NA,word/Ruin_1.mp3
86,B_group,left,exposure,Rumor,Jump,no,fill_word,Same,Different,NA,word/Rumor_1.mp3
87,B_group,left,exposure,Runner,Switch,no,fill_word,Same,Different,NA,word/Runner_1.mp3
88,B_group,left,exposure,Sailor,Wolf,no,fill_word,Same,Different,NA,word/Sailor_1.mp3
89,B_group,left,exposure,Seal,Trunk,no,fill_word,Same,Different,NA,word/Seal_1.mp3
90,B_group,left,exposure,Shell,Self,no,fill_word,Same,Different,NA,word/Shell_1.mp3
91,B_group,left,exposure,Similar,Voice,no,fill_word,Same,Different,NA,word/Similar_1.mp3
92,B_group,left,exposure,Soil,Clock,no,fill_word,Same,Different,NA,word/Soil_1.mp3
93,B_group,left,exposure,Valley,Feed,no,fill_word,Same,Different,NA,word/Valley_1.mp3
94,B_group,left,exposure,Vary,Straw,no,fill_word,Same,Different,NA,word/Vary_1.mp3
95,B_group,left,exposure,Venue,Shout,no,fill_word,Same,Different,NA,word/Venue_1.mp3
96,B_group,left,exposure,Violin,Source,no,fill_word,Same,Different,NA,word/Violin_1.mp3
97,B_group,left,exposure,Volume,Volume,yes,fill_word,Same,Different,NA,word/Volume_1.mp3
98,B_group,left,exposure,Sewer,Sewer,yes,fill_word,Same,Different,NA,word/Sewer_1.mp3
99,B_group,left,exposure,Swear,Map,no,fill_word,Same,Different,NA,word/Swear_1.mp3
100,B_group,left,exposure,Throne,Steak,no,fill_word,Same,Different,NA,word/Throne_1.mp3